hanzi,pinyin,meaning
班组,[ban1 zu3],group or team (in factories etc)
班线,[ban1 xian4],route (of a bus etc)
班花,[ban1 hua1],the prettiest girl in the class
班草,[ban1 cao3],the most handsome boy in the class
班荆相对,[ban1 jing1 xiang1 dui4],to treat sb with courtesy (idiom)
班超,[Ban1 Chao1],Ban Chao (33-102), noted Han diplomat and military man
班车,[ban1 che1],regular bus (service)
班辈,[ban1 bei4],seniority in the family
班辈儿,[ban1 bei4 r5],seniority in the family
班轮,[ban1 lun2],regular passenger or cargo ship
班达亚齐,[Ban1 da2 ya4 qi2],Banda Aceh, capital of Aceh province of Indonesia in northwest Sumatra
班长,[ban1 zhang3],class monitor
班门弄斧,[Ban1 men2 nong4 fu3],to display one's slight skill before an expert (idiom)
班雅明,[Ban1 ya3 ming2],Benjamin (name)
班驳,[ban1 bo2],variant of 斑駁|斑驳[ban1 bo2]
佩,[pei4],girdle ornaments
佩林,[Pei4 lin2],Palin (name)
珳,[wen2],old variant of 玟[wen2]
珵,[cheng2],fine jade
珶,[di4],white jade worn on belt
珷,[wu3],inferior gem
珺,[jun4],beautiful jade
珻,[mei2],old variant of 玫[mei2]
珽,[ting3],scepter
现,[xian4],to appear
现下,[xian4 xia4],now
现世,[xian4 shi4],this life
现世报,[xian4 shi4 bao4],karmic retribution within one's lifetime
现世宝,[xian4 shi4 bao3],good-for-nothing
现今,[xian4 jin1],now
现代,[Xian4 dai4],Hyundai, South Korean company
现代,[xian4 dai4],modern times
现代五项,[xian4 dai4 wu3 xiang4],modern pentathlon
现代人,[xian4 dai4 ren2],modern man
现代化,[xian4 dai4 hua4],modernization
现代史,[xian4 dai4 shi3],modern history
现代形式,[xian4 dai4 xing2 shi4],the modern form
现代性,[xian4 dai4 xing4],modernity
现代新儒家,[Xian4 dai4 Xin1 Ru2 jia1],Modern New Confucianism
现代派,[xian4 dai4 pai4],modernist faction
现代舞,[xian4 dai4 wu3],modern dance
现代集团,[Xian4 dai4 Ji2 tuan2],Hyundai, the Korean corporation
现代音乐,[xian4 dai4 yin1 yue4],modern music
现任,[xian4 ren4],to occupy a post currently
现值,[xian4 zhi2],present value
现做,[xian4 zuo4],to make (food) on the spot
现在,[xian4 zai4],now
现在分词,[xian4 zai4 fen1 ci2],present participle (in English grammar)
现在式,[xian4 zai4 shi4],present tense
现在是过去钥匙,[xian4 zai4 shi4 guo4 qu5 yao4 shi5],Today is the key to the past.
现场,[xian4 chang3],the scene (of a crime, accident etc)
现场报道,[xian4 chang3 bao4 dao4],on-the-spot report
现场投注,[xian4 chang3 tou2 zhu4],live betting
现场采访,[xian4 chang3 cai3 fang3],on-the-spot interview
现场会,[xian4 chang3 hui4],on-the-spot meeting
现场会议,[xian4 chang3 hui4 yi4],on-the-spot meeting
现场直播,[xian4 chang3 zhi2 bo1],on-the-spot live broadcast
现场视察,[xian4 chang3 shi4 cha2],on-site inspection
现存,[xian4 cun2],extant
现学现用,[xian4 xue2 xian4 yong4],to immediately put into practice something one has just learned (idiom)
现实,[xian4 shi2],reality
现实主义,[xian4 shi2 zhu3 yi4],realism
现实情况,[xian4 shi2 qing2 kuang4],current state
现年,[xian4 nian2],(a person's) current age
现形,[xian4 xing2],to become visible
现役,[xian4 yi4],(military) active duty
现成,[xian4 cheng2],ready-made
现房,[xian4 fang2],finished apartment
现抓,[xian4 zhua1],to improvise
现时,[xian4 shi2],current
现有,[xian4 you3],currently existing
现款,[xian4 kuan3],cash
现况,[xian4 kuang4],the current situation
现炒现卖,[xian4 chao3 xian4 mai4],lit. to fry and sell on the spot
现烤,[xian4 kao3],freshly baked
现状,[xian4 zhuang4],current situation
现磨,[xian4 mo2],freshly ground
现行,[xian4 xing2],to be in effect
现行犯,[xian4 xing2 fan4],criminal caught red-handed
现象,[xian4 xiang4],appearance
现象学,[xian4 xiang4 xue2],phenomenology
现货,[xian4 huo4],merchandise or commodities available immediately after sale
现货价,[xian4 huo4 jia4],price of actuals
现身,[xian4 shen1],to show oneself
现身说法,[xian4 shen1 shuo1 fa3],to talk from one's personal experience
现量相违,[xian4 liang4 xiang1 wei2],to not fit one's perception of sth (idiom)
现金,[xian4 jin1],cash
现金周转,[xian4 jin1 zhou1 zhuan3],cash flow
现金基础,[xian4 jin1 ji1 chu3],cash basis (accounting)
现金流转,[xian4 jin1 liu2 zhuan3],cash flow
现金流转表,[xian4 jin1 liu2 zhuan3 biao3],cash flow statement
现金流量,[xian4 jin1 liu2 liang4],cash flow
现金流量表,[xian4 jin1 liu2 liang4 biao3],cash flow statement
现钱,[xian4 qian2],cash
现阶段,[xian4 jie1 duan4],at the present stage
琀,[han2],gems or pearls formerly put into the mouth of a corpse
琁,[xuan2],beautiful jade
球,[qiu2],ball
球友,[qiu2 you3],(ball game) enthusiast (player)
球员,[qiu2 yuan2],sports club member
球场,[qiu2 chang3],stadium
球场会馆,[qiu2 chang3 hui4 guan3],clubhouse (golf)
球孢子菌病,[qiu2 bao1 zi3 jun1 bing4],Coccidioidomycosis
球季,[qiu2 ji4],season (of baseball, football etc)
球差,[qiu2 cha1],spherical aberration (optics)
球座,[qiu2 zuo4],tee (golf)
球弹,[qiu2 dan4],ball (in sport, incl. billiards)
球形,[qiu2 xing2],spherical
球感,[qiu2 gan3],ball sense
球拍,[qiu2 pai1],racket
球星,[qiu2 xing1],sports star (ball sport)
球会,[qiu2 hui4],ballsports club (e.g. golf, football etc)
球杆,[qiu2 gan1],club (golf)
球棍,[qiu2 gun4],(sport) club
球棒,[qiu2 bang4],baseball bat
球台,[qiu2 tai2],table (for games using balls)
球状,[qiu2 zhuang4],sphere
球状物,[qiu2 zhuang4 wu4],globe
球状蛋白质,[qiu2 zhuang4 dan4 bai2 zhi4],globular protein
球瓶,[qiu2 ping2],pin (ten-pin bowling)
球磨,[qiu2 mo2],see 球磨機|球磨机[qiu2 mo2 ji1]
球磨机,[qiu2 mo2 ji1],ball mill
球童,[qiu2 tong2],ball boy (tennis)
球竿,[qiu2 gan1],cue (billiards)
球粒陨石,[qiu2 li4 yun3 shi2],chondrite (type of meteorite)
球网,[qiu2 wang3],net (for ball games)
球腔菌,[qiu2 qiang1 jun1],Mycosphaerella (genus of sac fungus, a plant pathogen)
球芽甘蓝,[qiu2 ya2 gan1 lan2],Brussels sprouts (Brassica oleracea L. var. gemmifera)
球菌,[qiu2 jun1],coccus (spherical bacteria pathogen)
球蛋白,[qiu2 dan4 bai2],globulin
球虫,[qiu2 chong2],coccidia (biology)
球赛,[qiu2 sai4],sports match
球迷,[qiu2 mi2],fan (ball sports)
球道,[qiu2 dao4],fairway (golf)
球门,[qiu2 men2],goalmouth (in soccer)
球队,[qiu2 dui4],sports team (basketball, soccer, football etc)
球面,[qiu2 mian4],sphere
球面几何,[qiu2 mian4 ji3 he2],spherical geometry
球鞋,[qiu2 xie2],athletic shoes
球类,[qiu2 lei4],ball sports
球馆,[qiu2 guan3],(sports) arena
球体,[qiu2 ti3],spheroid
琅,[lang2],jade-like stone
琅威理,[Lang2 Wei1 li3],Captain William M Lang (1843-), British adviser to the Qing north China navy 北洋水師|北洋水师 during the 1880s
琅嬛,[Lang2 huan2],mythical fairy realm
琅玡区,[Lang2 ya2 qu1],Langya district of Chuzhou city 滁州市[Chu2 zhou1 shi4], Anhui
理,[li3],texture
理事,[li3 shi4],member of council
理事会,[li3 shi4 hui4],council
理事长,[li3 shi4 zhang3],director general
理光,[Li3 guang1],Ricoh, Japanese imaging and electronics company
理儿,[li3 r5],reason
理则,[li3 ze2],principle
理则学,[li3 ze2 xue2],logic
理化,[li3 hua4],physical and chemical
理化因素,[li3 hua4 yin1 su4],physical and chemical factors
理喻,[li3 yu4],to reason with sb
理塘,[Li3 tang2],Litang county (Tibetan: li thang rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gan1 zi1 Zang4 zu2 zi4 zhi4 zhou1], Sichuan (formerly in Kham province of Tibet)
理塘县,[Li3 tang2 xian4],Litang county (Tibetan: li thang rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gan1 zi1 Zang4 zu2 zi4 zhi4 zhou1], Sichuan (formerly in Kham province of Tibet)
理学,[Li3 xue2],School of Principle
理学,[li3 xue2],science
理学家,[li3 xue2 jia1],scholar of the rationalist school of Neo-Confucianism 理學|理学[Li3 xue2]
理学硕士,[li3 xue2 shuo4 shi4],M.Sc. (Master of Science degree)
理容院,[li3 rong2 yuan4],hairdresser and beauty parlor
理屈词穷,[li3 qu1 ci2 qiong2],faulty argument and poor rhetoric (idiom); unable to put forward any convincing arguments
理工,[li3 gong1],science and engineering as academic subjects
理工大学,[li3 gong1 da4 xue2],University of Science and Engineering
理工科,[li3 gong1 ke1],science and engineering as academic subjects
理念,[li3 nian4],idea
理性,[li3 xing4],reason
理性主义,[li3 xing4 zhu3 yi4],rationalism
理性知识,[li3 xing4 zhi1 shi5],rational knowledge
理性与感性,[Li3 xing4 yu3 Gan3 xing4],Sense and Sensibility, novel by Jane Austen 珍·奧斯汀|珍·奥斯汀[Zhen1 · Ao4 si1 ting1]
理性认识,[li3 xing4 ren4 shi5],cognition
理想,[li3 xiang3],an ideal
理想主义,[li3 xiang3 zhu3 yi4],idealism
理想化,[li3 xiang3 hua4],to idealize
理想国,[Li3 xiang3 guo2],Plato's "The Republic" (c. 380 BC)
理想国,[li3 xiang3 guo2],ideal state
理应,[li3 ying1],should
理所当然,[li3 suo3 dang1 ran2],as it should be by rights (idiom); proper and to be expected as a matter of course
理据,[li3 ju4],grounds
理智,[li3 zhi4],reason
理会,[li3 hui4],to understand
理查,[Li3 cha2],Richard (name)
理查德,[Li3 cha2 de2],Richard (name)
理查森,[Li3 cha2 sen1],Richardson (name)
理气,[li3 qi4],(TCM) to rectify 氣|气[qi4]
理气化痰,[li3 qi4 hua4 tan2],(TCM) to rectify 氣|气[qi4] and transform phlegm
理由,[li3 you2],reason
理当,[li3 dang1],should
理疗,[li3 liao2],physiotherapy
理疗师,[li3 liao2 shi1],physiotherapist
理监事,[li3 jian1 shi4],member of a board of directors
理直气壮,[li3 zhi2 qi4 zhuang4],in the right and self-confident (idiom); bold and confident with justice on one's side
理睬,[li3 cai3],to heed
理神论,[li3 shen2 lun4],deism, theological theory of God who does not interfere in the Universe
理科,[li3 ke1],the sciences (as opposed to the humanities 文科[wen2 ke1])
理科学士,[li3 ke1 xue2 shi4],Bachelor of Science B.Sc.
理县,[Li3 xian4],Li county (Tibetan: li rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[A1 ba4 Zang4 zu2 Qiang1 zu2 zi4 zhi4 zhou1], northwest Sichuan
理亏,[li3 kui1],in the wrong
理解,[li3 jie3],to comprehend
理解力,[li3 jie3 li4],ability to grasp ideas
理论,[li3 lun4],theory
理论基础,[li3 lun4 ji1 chu3],theoretical foundation
理论家,[li3 lun4 jia1],theorist
理论贡献,[li3 lun4 gong4 xian4],theoretical contribution
理财,[li3 cai2],financial management
理财学,[li3 cai2 xue2],financial management science
理货员,[li3 huo4 yuan2],shop assistant
理赔,[li3 pei2],to settle a claim
理路,[li3 lu4],logical thinking
理雅各,[Li3 Ya3 ge4],James Legge (1815-1897), Scottish Protestant missionary in Qing China and translator of the Chinese classics into English
理顺,[li3 shun4],to straighten out
理头,[li3 tou2],to have a haircut
理发,[li3 fa4],a barber
理发员,[li3 fa4 yuan2],barber
理发师,[li3 fa4 shi1],barber
理发店,[li3 fa4 dian4],barber's shop
理发厅,[li3 fa4 ting1],(Taiwan) barber's shop
理发院,[li3 fa4 yuan4],barber's shop
琇,[xiu4],(jade)
琉,[liu2],precious stone
琉球,[Liu2 qiu2],Ryūkyū
琉球国,[Liu2 qiu2 guo2],Ryūkyū kingdom 1429-1879 (on modern Okinawa)
琉球歌鸲,[Liu2 qiu2 ge1 qu2],(bird species of China) Ryukyu robin (Larvivora komadori)
琉球海,[Liu2 qiu2 Hai3],Ryūkyū Sea
琉球王国,[Liu2 qiu2 wang2 guo2],Ryūkyū kingdom 1429-1879 (on modern Okinawa)
琉球群岛,[Liu2 qiu2 Qun2 dao3],Ryukyu islands
琉球角鸮,[Liu2 qiu2 jiao3 xiao1],(bird species of China) Ryukyu scops owl (Otus elegans)
琉球乡,[Liu2 qiu2 xiang1],Liuchiu township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan
琉璃,[liu2 li5],colored glass
琉璃塔,[liu2 li2 ta3],glazed tile pagoda
琉璃庙,[Liu2 li2 miao4],Liulimiao town in Beijing municipality
琉璃瓦,[liu2 li2 wa3],glazed roof tile
琉璃苣,[liu2 li2 ju4],borage (Borago officinalis)
琉璃蓝鹟,[liu2 li2 lan2 weng1],(bird species of China) Zappey's flycatcher (Cyanoptila cumatilis)
玡,[ya2],used in place names
璃,[li2],(phonetic character used in transliteration of foreign names)
琖,[zhan3],wine cup
琚,[ju1],ornamental gems for belt
琛,[chen1],precious stone
琝,[min2],old variant of 玟[min2]
琠,[dian3],gem used as ear plug
琢,[zhuo2],to cut (gems)
琢,[zuo2],see 琢磨[zuo2 mo5]
琢磨,[zhuo2 mo2],to carve and polish (jade)
琢磨,[zuo2 mo5],to ponder
琤,[cheng1],tinkling of gems
琥,[hu3],amber
琥珀,[hu3 po4],amber
琦,[qi2],curio
琨,[kun1],(jade)
琪,[qi2],fine jade
琫,[beng3],gem ornament of scabbard
琬,[wan3],ensign of royalty
琭,[lu4],(jade)
琮,[Cong2],surname Cong
琮,[cong2],octagonal jade badge
琯,[guan3],mus. instr.
琰,[yan3],gem
琱,[diao1],to engrave gems
琲,[bei4],necklace
琳,[lin2],gem
琳·戴维斯,[Lin2 · Dai4 wei2 si1],Lynn E. Davis, US academic and arms control expert, Under-secretary at US State Department 1993-1997
琳琅,[lin2 lang2],glittering jewels
琳琅满目,[lin2 lang2 man3 mu4],glittering jewels to delight the eye (idiom)
琴,[qin2],guqin or zither, cf 古琴[gu3 qin2]
琴剑飘零,[qin2 jian4 piao1 ling2],floating between zither and sword (idiom); fig. wandering aimlessly with no tenured position
琴师,[qin2 shi1],player of a stringed instrument
琴弦,[qin2 xian2],string (of a stringed instrument)
琴手,[qin2 shou3],player of a stringed instrument
琴斯托霍瓦,[Qin2 si1 tuo1 huo4 wa3],Częstochowa (city in Poland)
琴书,[qin2 shu1],traditional art form, consisting of sung story telling with musical accompaniment
琴棋书画,[qin2 qi2 shu1 hua4],the four arts (zither, Go, calligraphy, painting)
琴瑟,[qin2 se4],qin and se, two string instruments that play in perfect harmony
琴瑟不调,[qin2 se4 bu4 tiao2],out of tune
琴瑟和鸣,[qin2 se4 he2 ming2],in perfect harmony
琴酒,[qin2 jiu3],gin (Taiwan variant of 金酒[jin1 jiu3])
琴锤,[qin2 chui2],mallet
琴键,[qin2 jian4],a piano key
琵,[pi2],see 琵琶, pipa lute
琵嘴鸭,[pi2 zui3 ya1],(bird species of China) northern shoveler (Anas clypeata)
琵琶,[pi2 pa5],pipa, Chinese lute, with 4 strings, a large pear-shaped body and a fretted fingerboard
琵琶行,[Pi2 pa5 Xing2],Song of the Pipa Player, long poem by Tang poet Bai Juyi 白居易[Bai2 Ju1 yi4]
琵琶鱼,[pi2 pa5 yu2],anglerfish
琵鹭,[pi2 lu4],spoonbill (wading bird of the family Threskiornithidae)
琶,[pa2],see 琵琶, pipa lute
琴,[qin2],variant of 琴[qin2], guqin or zither
珐,[fa4],enamel ware
珐琅,[fa4 lang2],enamel
珐琅质,[fa4 lang2 zhi4],tooth enamel
珲,[hun2],(fine jade)
珲春,[Hun2 chun1],Hunchun county level city in Yanbian Korean autonomous prefecture 延邊朝鮮族自治州|延边朝鲜族自治州, Jilin
珲春市,[Hun2 chun1 shi4],Hunchun county level city in Yanbian Korean autonomous prefecture 延邊朝鮮族自治州|延边朝鲜族自治州, Jilin
瑀,[yu3],(chalcedony)
瑁,[mao4],(jade)
瑂,[mei2],(stone which resembles jade)
瑃,[chun1],(a kind of jade)
瑄,[xuan1],ornamental piece of jade
玳,[dai4],variant of 玳[dai4]
瑉,[min2],variant of 珉[min2]
玮,[wei3],(reddish jade)
瑏,[chuan1],(jade)
瑑,[zhuan4],engraved lines
瑔,[quan2],jade
瑕,[xia2],blemish
瑕不掩瑜,[xia2 bu4 yan3 yu2],lit. a blemish does not obscure jade's luster
瑕玷,[xia2 dian4],blemish
瑕疵,[xia2 ci1],blemish
瑗,[yuan4],large jade ring
瑙,[nao3],agate
瑙蒙短尾鹛,[Nao3 meng2 duan3 wei3 mei2],(bird species of China) Naung Mung scimitar babbler (Jabouilleia naungmungensis)
瑙鲁,[Nao3 lu3],Nauru, island country in the southwestern Pacific
瑚,[hu2],coral
瑛,[ying1],(crystal)
瑜,[yu2],excellence
瑜伽,[yu2 jia1],yoga (loanword)
瑜伽宗,[Yu2 jia1 zong1],see 唯識宗|唯识宗[Wei2 shi2 zong1]
瑜伽行派,[Yu2 jia1 Xing2 pai4],see 唯識宗|唯识宗[Wei2 shi2 zong1]
瑜珈,[yu2 jia1],variant of 瑜伽[yu2 jia1]
瑜迦,[yu2 jia1],yoga (loanword)
瑞,[rui4],lucky
瑞亚,[Rui4 ya4],Rhea, wife of Chronos and mother of Zeus in Greek mythology
瑞典,[Rui4 dian3],Sweden
瑞典人,[rui4 dian3 ren2],Swede
瑞典语,[Rui4 dian3 yu3],Swedish (language)
瑞利准则,[Rui4 li4 zhun3 ze2],Rayleigh criterion (optics)
瑞士,[Rui4 shi4],Switzerland
瑞士人,[Rui4 shi4 ren2],Swiss (person)
瑞士卷,[Rui4 shi4 juan3],Swiss roll
瑞士法郎,[Rui4 shi4 fa3 lang2],Swiss franc (currency)
瑞士军刀,[Rui4 shi4 jun1 dao1],Swiss Army knife
瑞安,[Rui4 an1],Rui'an county level city in Wenzhou 溫州|温州[Wen1 zhou1], Zhejiang
瑞安市,[Rui4 an1 shi4],Rui'an county level city in Wenzhou 溫州|温州[Wen1 zhou1], Zhejiang
瑞昌,[Rui4 chang1],Ruichang county level city in Jiujiang 九江, Jiangxi
瑞昌市,[Rui4 chang1 shi4],Ruichang county level city in Jiujiang 九江, Jiangxi
瑞朗,[Rui4 lang3],Swiss franc
瑞氏染料,[rui4 shi4 ran3 liao4],Wright's stain (used in studying blood)
瑞氏染色,[rui4 shi4 ran3 se4],Wright's stain (used in studying blood)
瑞气,[rui4 qi4],propitious vapours
瑞尔,[rui4 er3],riel (Cambodian currency)
瑞狮,[Rui4 Shi1],Rui Shi, Auspicious Lions of Chinese mythology
瑞兽,[rui4 shou4],auspicious animal (such as the dragon)
瑞穗,[Rui4 sui4],Ruisui or Juisui township in Hualien county 花蓮縣|花莲县[Hua1 lian2 xian4], east Taiwan
瑞穗乡,[Rui4 sui4 xiang1],Ruisui or Juisui township in Hualien county 花蓮縣|花莲县[Hua1 lian2 xian4], east Taiwan
瑞色,[rui4 se4],lovely color
瑞芳,[Rui4 fang1],Ruifang or Juifang town in New Taipei City 新北市[Xin1 bei3 shi4], Taiwan
瑞芳镇,[Rui4 fang1 zhen4],Ruifang or Juifang town in New Taipei City 新北市[Xin1 bei3 shi4], Taiwan
瑞萨,[Rui4 sa4],Renesas Electronics (Japanese microchip company)
瑞金,[Rui4 jin1],Ruijin county level city in Ganzhou 贛州|赣州, Jiangxi
瑞金市,[Rui4 jin1 shi4],Ruijin county level city in Ganzhou 贛州|赣州, Jiangxi
瑞雪,[rui4 xue3],timely snow
瑞香,[rui4 xiang1],winter daphne
瑞丽,[Rui4 li4],Ruili city in Dehong Dai and Jingpo autonomous prefecture 德宏傣族景頗族自治州|德宏傣族景颇族自治州[De2 hong2 Dai3 zu2 Jing3 po1 zu2 zi4 zhi4 zhou1], Yunnan
瑞丽市,[Rui4 li4 shi4],Ruili city in Dehong Dai and Jingpo autonomous prefecture 德宏傣族景頗族自治州|德宏傣族景颇族自治州[De2 hong2 Dai3 zu2 Jing3 po1 zu2 zi4 zhi4 zhou1], Yunnan
瑟,[se4],a type of standing harp, smaller than konghou 箜篌, with 5-25 strings
瑟瑟,[se4 se4],trembling
瑟瑟发抖,[se4 se4 fa1 dou3],to shiver with cold
瑟缩,[se4 suo1],to curl up shivering (from cold)
琉,[liu2],old variant of 琉[liu2]
瑢,[rong2],gem ornaments for belts
琐,[suo3],fragmentary
琐事,[suo3 shi4],trifle
琐屑,[suo3 xie4],trivial matters
琐碎,[suo3 sui4],trifling
琐细,[suo3 xi4],trivial
琐罗亚斯德,[Suo3 luo2 ya4 si1 de2],Zoroaster, Zarathustra or Zarathushtra (c. 1200 BC), Persian prophet and founder of Zoroastrianism
琐罗亚斯德教,[Suo3 luo2 ya4 si1 de2 jiao4],Zoroastrianism
琐罗亚斯特,[Suo3 luo2 ya4 si1 te4],Zoroaster
琐闻,[suo3 wen2],news items
琐记,[suo3 ji4],fragmentary recollections
瑶,[Yao2],Yao ethnic group of southwest China and southeast Asia
瑶,[yao2],jade
瑶之圃,[Yao2 zhi1 pu3],jade garden of celestial ruler
瑶族,[Yao2 zu2],Yao ethnic group of southwest China and southeast Asia
瑶池,[Yao2 chi2],the Jade lake on Mount Kunlun, residence of Xi Wangmu 西王母
瑶海,[Yao2 hai3],Yaohai district of Hefei city 合肥市[He2 fei2 shi4], Anhui
瑶海区,[Yao2 hai3 qu1],Yaohai district of Hefei city 合肥市[He2 fei2 shi4], Anhui
莹,[ying2],luster of gems
玛,[ma3],agate
玛仁糖,[ma3 ren2 tang2],traditional Xinjiang sweet walnut cake
玛俐欧,[Ma3 li4 ou1],Mario (Nintendo video game character)
玛利亚,[Ma3 li4 ya4],Mary (biblical name)
玛卡,[ma3 ka3],maca (Lepidium meyenii)
玛多,[Ma3 duo1],Madoi or Maduo county (Tibetan: rma stod rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guo3 luo4 zhou1], Qinghai
玛多县,[Ma3 duo1 xian4],Madoi or Maduo county (Tibetan: rma stod rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guo3 luo4 zhou1], Qinghai
玛奇朵,[ma3 qi2 duo3],macchiato (loanword)
玛家,[Ma3 jia1],Machia township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan
玛家乡,[Ma3 jia1 xiang1],Machia township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan
玛尼,[Ma3 ni2],Mani (god)
玛律,[Ma3 lu:4],Malé, capital of Maldives (Tw)
玛德琳,[Ma3 de2 lin2],Madeleine (name)
玛拉基亚,[Ma3 la1 ji1 ya4],Malachi
玛拉基书,[Ma3 la1 ji1 shu1],Book of Malachi
玛拿西,[Ma3 na2 xi1],Manasseh (son of Hezekiah)
玛曲,[Ma3 qu3],Maqu county in Gannan Tibetan autonomous prefecture 甘南藏族自治州[Gan1 nan2 Zang4 zu2 zi4 zhi4 zhou1], Gansu
玛曲县,[Ma3 qu3 xian4],Maqu county in Gannan Tibetan autonomous prefecture 甘南藏族自治州[Gan1 nan2 Zang4 zu2 zi4 zhi4 zhou1], Gansu
玛格丽特,[Ma3 ge2 li4 te4],Margaret (name)
玛格丽特,[ma3 ge2 li4 te4],margarita (cocktail)
玛沁,[Ma3 qin4],Maqên or Maqin county (Tibetan: rma chen rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guo3 luo4 zhou1], Qinghai
玛沁县,[Ma3 qin4 xian4],Maqên or Maqin county (Tibetan: rma chen rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guo3 luo4 zhou1], Qinghai
玛瑙,[ma3 nao3],cornelian (mineral)
玛瑙贝,[ma3 nao3 bei4],cowrie
玛窦,[Ma3 dou4],Matthew
玛窦福音,[Ma3 dou4 Fu2 yin1],Gospel according to St Matthew
玛纳斯,[Ma3 na4 si1],Manas, hero of Kyrghiz epic saga
玛纳斯河,[Ma3 na4 si1 He2],Manas River, Xinjiang
玛纳斯县,[Ma3 na4 si1 xian4],Manas county in Changji Hui autonomous prefecture 昌吉回族自治州[Chang1 ji2 Hui2 zu2 zi4 zhi4 zhou1], Xinjiang
玛纳斯镇,[Ma3 na4 si1 zhen4],Manas town in Changji Hui autonomous prefecture 昌吉回族自治州[Chang1 ji2 Hui2 zu2 zi4 zhi4 zhou1], Xinjiang
玛芬,[ma3 fen1],muffin (loanword)
玛莎拉蒂,[Ma3 sha1 la1 di4],Maserati
玛迪达,[Ma3 di2 da2],Matilda (name)
玛雅,[Ma3 ya3],Maya (civilization)
玛雅人,[Ma3 ya3 ren2],Maya peoples
玛丽,[Ma3 li4],Mary or Marie (name)
玛丽亚,[Ma3 li4 ya4],Maria (name)
玛丽娅,[Ma3 li4 ya4],Maria (name)
玛丽莲·梦露,[Ma3 li4 lian2 · Meng4 lou4],Marilyn Monroe (1926-1962), US actress
瑭,[tang2],(jade)
琅,[Lang2],see 瑯琊山|琅玡山[Lang2 ya2 shan1]
琅,[lang2],(gem)
琅玡,[Lang2 ya2],Mt Langya in eastern Shandong
琅玡区,[Lang2 ya2 qu1],Lang'ya district of Chuzhou city 滁州市[Chu2 zhou1 shi4], Anhui
琅玡山,[Lang2 ya2 shan1],Mt Langya in eastern Shandong
瑰,[gui1],(semi-precious stone)
瑰伟,[gui1 wei3],ornate (style)
瑰奇,[gui1 qi2],magnificent
瑰宝,[gui1 bao3],gem
瑰玮,[gui1 wei3],ornate (style)
瑰异,[gui1 yi4],marvelous
瑰丽,[gui1 li4],elegant
瑱,[tian4],jade ear-plug
瑱,[zhen4],jade weight
玱,[qiang1],(onom.) tinkling of gems
瑳,[cuo3],luster of gems
瑽,[cong1],tinkling of jade pendants
瑾,[jin3],brilliancy (of gems)
瑿,[yi1],a black stone like jade
璀,[cui3],luster of gems
璀璀,[cui3 cui3],bright and clear
璀璨,[cui3 can4],bright
璀璨夺目,[cui3 can4 duo2 mu4],dazzling (idiom)
璀错,[cui3 cuo4],many and varied
璁,[cong1],stone similar to jade
璃,[li2],colored glaze
璅,[suo3],fragmentary
璆,[qiu2],(gem)
璇,[xuan2],(jade)
璈,[ao2],(mus. instr.)
琏,[lian3],vessel used for grain offerings
璊,[men2],(gem)
璋,[zhang1],ancient stone ornament
璐,[lu4],beautiful jade
璘,[lin2],luster of gem
璚,[jue2],half-circle jade ring
璚,[qiong2],(red stone)
璜,[huang2],semi-circular jade ornament
璝,[gui1],variant of 瑰[gui1]
璞,[pu2],unpolished gem
璟,[jing3],luster of gem
璠,[fan2],(gem)
璡,[jin4],jade-like stone
琉,[liu2],old variant of 琉[liu2]
玑,[ji1],irregular pearl
璥,[jing3],(gem)
瑷,[ai4],fine quality jade
瑷珲条约,[Ai4 hun2 Tiao2 yue1],Treaty of Aigun, 1858 unequal treaty forced on Qing China by Tsarist Russia
璧,[bi4],jade annulus
璧山,[Bi4 shan1],Bishan suburban county in Chongqing municipality, formerly in Sichuan
璧山县,[Bi4 shan1 xian4],Bishan suburban county in Chongqing municipality, formerly in Sichuan
璧玉,[bi4 yu4],jade disk with a hole in the center
璧谢,[bi4 xie4],decline (a gift) with thanks
璧还,[bi4 huan2],return (a borrowed object) with thanks
璨,[can4],gem
璨玉,[can4 yu4],lustrous jade
璨璨,[can4 can4],very bright
璨美,[can4 mei3],resplendent
璩,[Qu2],surname Qu
璩,[qu2],(jade ring)
璪,[zao3],pendant of pearls on coronet
珰,[dang1],(literary) pendant ornament
㻅,[hui4],jade ornament in the seams of cap
环,[Huan2],surname Huan
环,[huan2],ring
环住,[huan2 zhu4],to embrace
环保,[huan2 bao3],environmental protection
环保主义,[huan2 bao3 zhu3 yi4],environmentalism
环保主义者,[huan2 bao3 zhu3 yi4 zhe3],environmentalist
环保型,[huan2 bao3 xing2],environmental
环保局,[huan2 bao3 ju2],environment protection office
环保厅,[huan2 bao3 ting1],(provincial) department of environmental protection
